country,2012,2013,2014,2015,Ave
Australia,44.155,44.635,51.505,51.475,47.9425
Canada,50.96333,49.9725,58.00333,56.81667,53.9389575
Denmark,44.15,47.12,52.94,52.51,49.18
France,47.898,47.948,57.3075,56.5,52.41338
Germany,44.95333,46.745,51.965,52.24,48.9758325
Israel,56.155,52.6225,59.52,58.21,56.62688
Japan,56.478,55.805,60.98375,60.57714,58.4609725
Netherlands,44.3,45.73,52.42,51.76,48.5525
South Korea,46.74,51.31,66.06,57.92,55.5075
Sweden,47.61,47.98,52.49,52.79,50.2175
Switzerland,51.705,51.5225,57.5425,55.25,54.005
United Kingdom,57.9525,62.84143,68.06571,67.74714,64.151695
USA,57.5681,57.77053,65.3966,63.99982,61.1837625
